Census year,CLUE small area,ANZSIC indusrty,CLUE industry,Business size,Total establishments,Total jobs
2007,West Melbourne (Residential),"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,20,132
2006,Carlton,Accommodation and Food Services,Accommodation,Small business,17,102
2006,Carlton,Administrative and Support Services,Admin and Support Services,Non employing,1,
2006,Carlton,Arts and Recreation Services,Arts and Recreation Services,Medium business,4,207
2006,Carlton,Construction,Construction,Medium business,5,196
2006,Carlton,Education and Training,Education and Training,Small business,37,278
2006,Carlton,Financial and Insurance Services,Finance and Insurance,Non employing,1,
2006,Carlton,Health Care and Social Assistance,Health Care and Social Assistance,Small business,86,495
2006,Carlton,Information Media and Telecommunications,Information Media and Telecommunications,Small business,16,107
2006,Carlton,"Professional, Scientific and Technical Services",Business Services,Small business,139,783
2006,Carlton,Public Administration and Safety,Public Administration and Safety,Medium business,9,510
2006,Carlton,Public Administration and Safety,Public Administration and Safety,Small business,9,31
2006,Carlton,"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,18,100
2006,Carlton,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,2,
2006,Carlton,Retail Trade,Retail Trade,Medium business,8,378
2006,Carlton,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,7,39
2006,Carlton,Wholesale Trade,Wholesale Trade,Small business,24,101
2006,Docklands,Accommodation and Food Services,Food and Beverage Services,Large business,1,
2006,Docklands,Accommodation and Food Services,Accommodation,Medium business,2,
2006,Docklands,Accommodation and Food Services,Food and Beverage Services,Small business,77,661
2006,Docklands,Administrative and Support Services,Admin and Support Services,Non employing,1,
2006,Docklands,Education and Training,Education and Training,Medium business,1,
2006,Docklands,Education and Training,Education and Training,Small business,2,
2006,Docklands,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,3,210
2006,Docklands,Information Media and Telecommunications,Information Media and Telecommunications,Small business,4,33
2006,Docklands,Manufacturing,Manufacturing,Non employing,2,
2006,Docklands,"Professional, Scientific and Technical Services",Business Services,Large business,1,
2006,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,8,333
2006,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,4,0
2006,East Melbourne,Accommodation and Food Services,Food and Beverage Services,Medium business,4,100
2006,East Melbourne,Administrative and Support Services,Admin and Support Services,Medium business,3,118
2006,East Melbourne,Arts and Recreation Services,Arts and Recreation Services,Small business,21,105
2006,East Melbourne,Education and Training,Education and Training,Medium business,10,681
2006,East Melbourne,Education and Training,Education and Training,Small business,5,53
2006,East Melbourne,Financial and Insurance Services,Finance and Insurance,Large business,1,
2006,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Large business,5,4338
2006,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,5,0
2006,East Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,3,185
2006,East Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Small business,7,57
2006,East Melbourne,Other Services,Other Services,Non employing,6,0
2006,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,67,581
2006,East Melbourne,Public Administration and Safety,Public Administration and Safety,Large business,6,3076
2006,East Melbourne,Public Administration and Safety,Public Administration and Safety,Medium business,7,553
2006,East Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,1,
2006,East Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,2,
2006,Kensington,Administrative and Support Services,Admin and Support Services,Small business,2,
2006,Kensington,Arts and Recreation Services,Arts and Recreation Services,Medium business,7,275
2006,Kensington,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,1,
2006,Kensington,Retail Trade,Retail Trade,Small business,11,95
2006,Kensington,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,2,
2006,Kensington,Wholesale Trade,Wholesale Trade,Medium business,1,
2006,Melbourne (CBD),Administrative and Support Services,Admin and Support Services,Large business,3,2085
2006,Melbourne (CBD),Administrative and Support Services,Admin and Support Services,Medium business,83,3871
2006,Melbourne (CBD),Administrative and Support Services,Admin and Support Services,Non employing,1,
2006,Melbourne (CBD),"Agriculture, Forestry and Fishing",Agriculture and Mining,Medium business,1,
2006,Melbourne (CBD),Construction,Construction,Large business,2,
2006,Melbourne (CBD),Construction,Construction,Small business,60,425
2006,Melbourne (CBD),Education and Training,Education and Training,Medium business,63,3760
2006,Melbourne (CBD),Education and Training,Education and Training,Small business,131,905
2006,Melbourne (CBD),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,8,667
2006,Melbourne (CBD),Financial and Insurance Services,Finance and Insurance,Small business,486,3360
2006,Melbourne (CBD),Information Media and Telecommunications,Information Media and Telecommunications,Large business,18,15238
2006,Melbourne (CBD),Information Media and Telecommunications,Information Media and Telecommunications,Non employing,11,0
2006,Melbourne (CBD),"Professional, Scientific and Technical Services",Business Services,Large business,33,16321
2006,Melbourne (CBD),Public Administration and Safety,Public Administration and Safety,Large business,26,16955
2006,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,25,1201
2006,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Real Estate Services,Non employing,6,0
2006,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Non employing,1,
2006,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,114,655
2006,Melbourne (CBD),Retail Trade,Retail Trade,Large business,6,3588
2006,Melbourne (CBD),"Transport, Postal and Warehousing","Transport, Postal and Storage",Large business,4,3450
2006,Melbourne (CBD),"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,27,1819
2006,Melbourne (CBD),Wholesale Trade,Wholesale Trade,Medium business,8,345
2006,Melbourne (Remainder),Accommodation and Food Services,Accommodation,Medium business,1,
2006,Melbourne (Remainder),Accommodation and Food Services,Food and Beverage Services,Small business,18,129
